SolventC_Smiles,SolventD_Smiles,SolventE——Smiles,Time,ratioA,ratioB,ratioC,ratioD,ratioE,regression（200s/1s）,classification
CC1=CC=CC=C1,CC(C)O,C1CC(=O)OC1,200,0.6,0.32,0.1,0.1,0.2,1.235597592,0
CCCCCC,CC(C)O,C1CC(=O)OC1,200,0.72,0.24,0.02,0.01,0.01,0.536059577,1
CCCCCC,CC(C)O,C1CC(=O)OC1,50,0.72,0.24,0.02,0.01,0.01,0.58988764,1
CCCCCC,CC(C)O,C1CC(=O)OC1,100,0.72,0.24,0.02,0.01,0.01,0.559837993,1
CCCCCC,CC(C)O,C1CC(=O)OC1,150,0.72,0.24,0.02,0.01,0.01,0.545466423,1
CC(C)O,C1CC(=O)OC1,CC(CO)O,200,0.72,0.24,0.02,0.01,0.01,0.512598425,1
CCO,C1CC(=O)OC1,CC(CO)O,50,0.72,0.24,0.02,0.01,0.01,0.629133858,1
CCO,C1CC(=O)OC1,CC(CO)O,100,0.72,0.24,0.02,0.01,0.01,0.558005249,1
CCO,C1CC(=O)OC1,CC(CO)O,150,0.72,0.24,0.02,0.01,0.01,0.527559055,1
CC#N,CC1=CC=CC=C1,CCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.872698989,0
CO,CC(=O)C,CCCCCC,200,0.72,0.24,0.02,0.01,0.01,0.25648213,0
CO,CC(=O)C,CCCCCC,50,0.72,0.24,0.02,0.01,0.01,0.32571829,0
CO,CC(=O)C,CCCCCC,100,0.72,0.24,0.02,0.01,0.01,0.249474422,0
CO,CC(=O)C,CCCCCC,150,0.72,0.24,0.02,0.01,0.01,0.204765242,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.734981119,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,50,0.6,0.32,0.1,0.1,0.2,0.55166495,1
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,100,0.6,0.32,0.1,0.1,0.2,0.527634741,0
C1CC(=O)OC1,CN1CCCC1=O,CCCCCCCC,150,0.6,0.32,0.1,0.1,0.2,0.545142465,0
CC(=O)C,CC(=O)O,CCCCCCCC,200,0.72,0.24,0.02,0.01,0.01,0.676196809,1
CC(=O)C,CC(=O)O,CCCCCCCC,50,0.72,0.24,0.02,0.01,0.01,1.042553191,1
CC(=O)C,CC(=O)O,CCCCCCCC,100,0.72,0.24,0.02,0.01,0.01,0.969414894,1
CC(=O)C,CC(=O)O,CCCCCCCC,150,0.72,0.24,0.02,0.01,0.01,0.830452128,1
CC(CO)O,CCCCCC,CCCCCCCC,200,0.6,0.32,0.1,0.1,0.2,0.324939662,0
CC(CO)O,CCCCCC,CCCCCCCC,50,0.6,0.32,0.1,0.1,0.2,0.424054706,1
CC(CO)O,CCCCCC,CCCCCCCC,100,0.6,0.32,0.1,0.1,0.2,0.331295253,0
CC(CO)O,CCCCCC,CCCCCCCC,130,0.6,0.32,0.1,0.1,0.2,0.313193886,0
CCOC(=O)C,CO,CC(C)O,200,0.6,0.32,0.1,0.1,0.2,0.031446224,0
CCOC(=O)C,CO,CC(C)O,50,0.6,0.32,0.1,0.1,0.2,0.180594966,0
CCOC(=O)C,CO,CC(C)O,100,0.6,0.32,0.1,0.1,0.2,0.052540046,0
CCOC(=O)C,CO,CC(C)O,150,0.6,0.32,0.1,0.1,0.2,0.039789474,0
CCCCCCCC,CC#N,CC(C)O,200,0.72,0.24,0.02,0.01,0.01,0.458516746,1
CCCCCCCC,CC#N,CC(C)O,50,0.72,0.24,0.02,0.01,0.01,0.535885167,1
CCCCCCCC,CC#N,CC(C)O,100,0.72,0.24,0.02,0.01,0.01,0.488516746,1
CCCCCCCC,CC#N,CC(C)O,150,0.72,0.24,0.02,0.01,0.01,0.468708134,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,50,0.72,0.24,0.02,0.01,0.01,0.694949495,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,100,0.72,0.24,0.02,0.01,0.01,0.647138047,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,150,0.72,0.24,0.02,0.01,0.01,0.618316498,1
C1=CC=C(C(=C1)Cl)Cl,CC(CO)O,CCO,200,0.72,0.24,0.02,0.01,0.01,0.604579125,1
C1=CC=C(C=C1)CO,CC(=O)O,C1=CC=C(C(=C1)Cl)Cl,200,0.6,0.32,0.1,0.1,0.2,1.186282151,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,200,0.72,0.24,0.02,0.01,0.01,0.164867725,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,50,0.72,0.24,0.02,0.01,0.01,0.224126984,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,100,0.72,0.24,0.02,0.01,0.01,0.167830688,0
C1CC(=O)OC1,CC(=O)N(C)C,C1=CC=C(C(=C1)Cl)Cl,150,0.72,0.24,0.02,0.01,0.01,0.157354497,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,200,0.72,0.24,0.02,0.01,0.01,0.218630339,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,50,0.72,0.24,0.02,0.01,0.01,0.635861561,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,100,0.72,0.24,0.02,0.01,0.01,0.614506627,0
CC(C)O,CC1=CC=CC=C1,CC(=O)N(C)C,150,0.72,0.24,0.02,0.01,0.01,0.583210604,0
CC(=O)O,CCCCN,CC(=O)N(C)C,200,0.6,0.32,0.1,0.1,0.2,5.777627119,0
CCOC(=O)C,C1=CC=C(C=C1)CO,CCN(CC)CC,50,0.72,0.24,0.02,0.01,0.01,0.15258012,0
CO,CCOC(=O)C,CCN(CC)CC,200,0.6,0.32,0.1,0.1,0.2,0.851778656,0
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,200,0.6,0.32,0.1,0.1,0.2,1.285498489,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,50,0.6,0.32,0.1,0.1,0.2,0.910876133,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,100,0.6,0.32,0.1,0.1,0.2,1.036253776,1
CC1=CC=CC=C1,CN1CCCC1=O,CC(=O)C,150,0.6,0.32,0.1,0.1,0.2,1.172205438,1
CN1CCCC1=O,C1CC(=O)OC1,CC(=O)C,200,0.6,0.32,0.1,0.1,0.2,2.869910626,0
CN1CCCC1=O,C1CC(=O)OC1,CC(=O)C,160,0.6,0.32,0.1,0.1,0.2,1.119165839,0
CCCCN,CCO,CC(=O)C,200,0.72,0.24,0.02,0.01,0.01,0.719165085,1
CCCCN,CCO,CC(=O)C,50,0.72,0.24,0.02,0.01,0.01,0.75711575,1
CCCCN,CCO,CC(=O)C,100,0.72,0.24,0.02,0.01,0.01,0.746204934,1
CCCCN,CCO,CC(=O)C,150,0.72,0.24,0.02,0.01,0.01,0.726280835,1
CC(CO)O,CCN(CC)CC,C(CO)O,200,0.72,0.24,0.02,0.01,0.01,0.320855148,0
CC(CO)O,CCN(CC)CC,C(CO)O,50,0.72,0.24,0.02,0.01,0.01,0.35017452,0
CC(CO)O,CCN(CC)CC,C(CO)O,100,0.72,0.24,0.02,0.01,0.01,0.34965096,0
CC(CO)O,CCN(CC)CC,C(CO)O,150,0.72,0.24,0.02,0.01,0.01,0.328621291,0
