A1 Ion Radius,A2 Ion Radius,A Ion Radius,B ion Radius,X1 Ion Radius,X2 Ion Radius,X3 Ion Radius,X4 Ion Radius,X Ion Radius,t,μ,A1 NumberofProtons,A2 NumberofProtons,B NumberofProtons,X1 NumberofProtons,X2 NumberofProtons,X3 NumberofProtons,X4 NumberofProtons,A1 NumberofNeutrons,A2 NumberofNeutrons,B NumberofNeutrons,X1 NumberofNeutrons,X2 NumberofNeutrons,X3 NumberofNeutrons,X4 NumberofNeutrons,A1 NumberofShells,A2 NumberofShells,B NumberofShells,X1 NumberofShells,X2 NumberofShells,X3 NumberofShells,X4 NumberofShells,A1 SpecificHeat,A2 SpecificHeat,B SpecificHeat,X1 SpecificHeat,X2 SpecificHeat,X3 SpecificHeat,X4 SpecificHeat,A1 Density,A2 Density,B Density,X1 Density,X2 Density,X3 Density,X4 Density,A1 FirstIonization,A2 FirstIonization,B FirstIonization,X1 FirstIonization,X2 FirstIonization,X3 FirstIonization,X4 FirstIonization,A1 AtomicMass,A2 AtomicMass,B AtomicMass,X1 AtomicMass,X2 AtomicMass,X3 AtomicMass,X4 AtomicMass,A1 MeltingPoint,A2 MeltingPoint,B MeltingPoint,X1 MeltingPoint,X2 MeltingPoint,X3 MeltingPoint,X4 MeltingPoint,Ef (eV)
138,152,145,119,196,196,196,196,196,0.76547115,0.607142857,19,37,82,35,35,35,35,20,48,125,45,45,45,45,4,5,6,4,4,4,4,0.757,0.363,0.129,0.474,0.474,0.474,0.474,0.862,1.53,11.3,3.12,3.12,3.12,3.12,4.3407,4.1771,7.4167,11.8138,11.8138,11.8138,11.8138,39.098,85.468,207.2,79.904,79.904,79.904,79.904,336.5,312.79,600.75,266.05,266.05,266.05,266.05,-2.81856684
152,167,159.5,119,220,220,220,220,220,0.79158414,0.540909091,37,55,82,53,53,53,53,48,78,125,74,74,74,74,5,6,6,5,5,5,5,0.363,0.242,0.129,0.214,0.214,0.214,0.214,1.53,1.87,11.3,4.93,4.93,4.93,4.93,4.1771,3.8939,7.4167,10.4513,10.4513,10.4513,10.4513,85.468,132.905,207.2,126.904,126.904,126.904,126.904,312.79,301.7,600.75,386.65,386.65,386.65,386.65,-0.755894853
76,76,76,53,133,133,133,181,145,0.789245448,0.365517241,3,3,32,9,9,9,17,4,4,41,10,10,10,18,2,2,4,2,2,2,3,3.582,3.582,0.32,0.824,0.824,0.824,0.479,0.534,0.534,5.32,0.0017,0.0017,0.0017,0.00321,5.3917,5.3917,7.8994,17.4228,17.4228,17.4228,12.9676,6.941,6.941,72.64,18.998,18.998,18.998,35.453,453.85,453.85,1211.45,53.63,53.63,53.63,172.31,4.5611965
102,102,102,53,133,133,133,181,145,0.882097853,0.365517241,11,11,32,9,9,9,17,12,12,41,10,10,10,18,3,3,4,2,2,2,3,1.228,1.228,0.32,0.824,0.824,0.824,0.479,0.971,0.971,5.32,0.0017,0.0017,0.0017,0.00321,5.1391,5.1391,7.8994,17.4228,17.4228,17.4228,12.9676,22.99,22.99,72.64,18.998,18.998,18.998,35.453,371.15,371.15,1211.45,53.63,53.63,53.63,172.31,-2.312083835
76,76,76,69,181,181,181,196,184.75,0.726613175,0.373477673,3,3,50,17,17,17,35,4,4,69,18,18,18,45,2,2,5,3,3,3,4,3.582,3.582,0.228,0.479,0.479,0.479,0.474,0.534,0.534,7.29,0.00321,0.00321,0.00321,3.12,5.3917,5.3917,7.3439,12.9676,12.9676,12.9676,11.8138,6.941,6.941,118.71,35.453,35.453,35.453,79.904,453.85,453.85,505.21,172.31,172.31,172.31,266.05,1.984229
102,102,102,69,181,181,181,196,184.75,0.799065496,0.373477673,11,11,50,17,17,17,35,12,12,69,18,18,18,45,3,3,5,3,3,3,4,1.228,1.228,0.228,0.479,0.479,0.479,0.474,0.971,0.971,7.29,0.00321,0.00321,0.00321,3.12,5.1391,5.1391,7.3439,12.9676,12.9676,12.9676,11.8138,22.99,22.99,118.71,35.453,35.453,35.453,79.904,371.15,371.15,505.21,172.31,172.31,172.31,266.05,-1.629336441
76,76,76,119,196,196,196,220,202,0.612385312,0.589108911,3,3,82,35,35,35,53,4,4,125,45,45,45,74,2,2,6,4,4,4,5,3.582,3.582,0.129,0.474,0.474,0.474,0.214,0.534,0.534,11.3,3.12,3.12,3.12,4.93,5.3917,5.3917,7.4167,11.8138,11.8138,11.8138,10.4513,6.941,6.941,207.2,79.904,79.904,79.904,126.904,453.85,453.85,600.75,266.05,266.05,266.05,386.65,0.772465
102,102,102,119,196,196,196,220,202,0.669658759,0.589108911,11,11,82,35,35,35,53,12,12,125,45,45,45,74,3,3,6,4,4,4,5,1.228,1.228,0.129,0.474,0.474,0.474,0.214,0.971,0.971,11.3,3.12,3.12,3.12,4.93,5.1391,5.1391,7.4167,11.8138,11.8138,11.8138,10.4513,22.99,22.99,207.2,79.904,79.904,79.904,126.904,371.15,371.15,600.75,266.05,266.05,266.05,386.65,-3.512650847
138,138,138,53,133,133,181,181,157,0.993316669,0.337579618,19,19,32,9,9,17,17,20,20,41,10,10,18,18,4,4,4,2,2,3,3,0.757,0.757,0.32,0.824,0.824,0.479,0.479,0.862,0.862,5.32,0.0017,0.0017,0.00321,0.00321,4.3407,4.3407,7.8994,17.4228,17.4228,12.9676,12.9676,39.098,39.098,72.64,18.998,18.998,35.453,35.453,336.5,336.5,1211.45,53.63,53.63,172.31,172.31,0.279485357
152,152,152,53,133,133,133,196,148.75,1.054088547,0.356302521,37,37,32,9,9,9,35,48,48,41,10,10,10,45,5,5,4,2,2,2,4,0.363,0.363,0.32,0.824,0.824,0.824,0.474,1.53,1.53,5.32,0.0017,0.0017,0.0017,3.12,4.1771,4.1771,7.8994,17.4228,17.4228,17.4228,11.8138,85.468,85.468,72.64,18.998,18.998,18.998,79.904,312.79,312.79,1211.45,53.63,53.63,53.63,266.05,-1.03808334
